Category,Field,Occurrence,Total Files,Errors
classes,title,11,11,0
classes,introduction,9,11,0
classes,sections,11,11,0
classes,class_abilities,1,11,0
classes,tables,6,11,0
classes,url,2,11,0
classes,special_boxes,2,11,0
classes,internal_links,2,11,0
classes,table,4,11,0
classes,images,5,11,0
classes,links,5,11,0
dons,title,66,66,0
dons,prerequisites,66,66,0
dons,description,66,66,0
dons,source,66,66,0
dons,url,66,66,0
monstres,title,903,903,0
monstres,prerequisites,903,903,0
monstres,description,903,903,0
monstres,source,903,903,0
monstres,image_url,903,903,0
monstres,url,903,903,0
monstres,stats,903,903,0
monstres,skills,428,903,0
monstres,actions,903,903,0
monstres,reactions,903,903,0
objet,titre,1,1,0
objet,traduction,1,1,0
objet,type_rarete,1,1,0
objet,description,1,1,0
objet,source,1,1,0
objet,image_url,1,1,0
objet,url,1,1,0
origine,title,6,6,0
origine,introduction,6,6,0
origine,sections,6,6,0
origine,tables,6,6,0
races,url,7,7,0
races,title,7,7,0
races,sections,7,7,0
races,special_boxes,7,7,0
races,internal_links,7,7,0
races,table,7,7,0
règles,title,37,37,0
règles,introduction,32,37,0
règles,sections,35,37,0
règles,tables,32,37,0
règles,url,3,37,0
règles,special_boxes,3,37,0
règles,internal_links,3,37,0
règles,table,3,37,0
règles,etats,2,37,0
règles,exhaustion,2,37,0
sorts,title,435,435,0
sorts,prerequisites,435,435,0
sorts,description,435,435,0
sorts,source,435,435,0
sorts,url,435,435,0
